,
AAEC,1005
AAEC,1006
AAEC,1264
AAEC,3204
AAEC,3324
AAEC,4464
ADV,2134
AFST,1714
AFST,1814
AFST,3864
AHRM,2404
AINS,1104
ALCE,3014
ALS,4204
APS,3124
ARBC,2774
ARCH,1044
ART,3174
BDS,2005
BDS,2006
BDS,3134
BIT,2164
BSE,4554
CHN,3604
CMST,2134
COMM,1014
COMM,2084
CRIM,4474
CS,2164
ECON,1104
ECON,1204
ECON,1214
ECON,2005
ECON,2006
ECON,3034
ECON,3134
EDCI,2614
EDCI,2674
EDCI,3024
EDCI,3144
EDCO,2004
EDEP,2444
ENGE,1644
ENGE,2524
ENGE,4094
ENGL,1504
ENGL,1514
ENGL,2724
ENGL,3144
FIN,3054
FIN,4014
FIW,2234
FIW,2514
FIW,4114
FMD,1204
FR,2714
FREC,2124
FREC,2554
FREC,4134
FREC,4174
FREC,4464
FREC,4554
GEOG,1004
GEOG,1014
GEOG,1115
GEOG,1116
GEOG,2004
GEOG,2054
GEOG,2064
GEOG,2074
GEOG,2244
GEOG,3104
GEOG,4074
GER,2724
HD,1004
HD,2004
HD,2014
HD,2314
HD,3144
HD,1984C
HD,3954C
HIST,1025
HIST,1026
HIST,1084
HIST,1215
HIST,1216
HIST,1224
HIST,1354
HIST,1515
HIST,1516
HIST,1764
HIST,2054
HIST,2484
HIST,2514
HIST,2524
HIST,2534
HIST,2715
HIST,2716
HIST,2724
HIST,3114
HIST,3144
HIST,3304
HIST,3374
HIST,3544
HIST,3554
HIST,3564
HIST,3724
HIST,3864
HNFE,2314
HNFE,2664
HORT,2184
HORT,4554
HTM,2454
HTM,2464
HTM,3484
HUM,3204
HUM,3204H
IDS,4094
IS,1004
IS,2054
IS,2064
IS,3064
IS,3374
IS,3864
IS,4174
JMC,2074
LAHS,2724
LAR,2554
LAR,3264
LAR,4554
LDRS,1414
LDRS,1424
LDRS,2014
LDRS,3304
MGT,2064
MGT,2354
MGT,3094
MGT,3444
MGT,4094
MN,4005
MN,4006
NR,1115
NR,1116
NR,2554
PHIL,3015
PHIL,3016
PHS,4054
PM,4744
PPE,2894
PPE,3016
PR,2044
PR,4404
PSCI,1004
PSCI,1014
PSCI,1024
PSCI,1084
PSCI,2054
PSCI,2064
PSCI,2164
PSCI,2894
PSCI,3015
PSCI,3016
PSCI,3064
PSCI,3374
PSCI,4174
PSCI,1014H
PSVP,2044
PSYC,1004
PSYC,2034
PSYC,2044
PSYC,2084
PSYC,3014
PSYC,3024
PSYC,4154
RED,4604
RED,4604H
RLCL,1004
RLCL,1084
RLCL,2054
RLCL,2464
RLCL,2514
RLCL,3144
RLCL,3204
RLCL,1004H
RLCL,3204H
SOC,1004
SOC,1014
SOC,1084
SOC,2004
SOC,2014
SOC,2024
SOC,2034
SOC,2054
SOC,2304
SOC,2514
SOC,3144
SOC,3314
SOC,3404
SPAN,2764
SPAN,2774
SPAN,3494
SPAN,3544
SPES,2244
SPIA,1024
SPIA,1044
SPIA,2024
SPIA,2244
SPIA,2314
SPIA,2554
SPIA,4554
STL,2304
STS,1504
STS,2054
STS,2444
STS,2464
STS,2715
STS,2716
STS,2724
STS,3124
STS,3334
UAP,1024
UH,2544
UH,2814
UNIV,1824
WATR,2004
WATR,4464
WGS,1824
